epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6479,1.69499,2.13524,1.878,0.72523,0.57995,0.65021,0.33179,1.56251,2.88018,1.81061,0.000665349,0.000665349,0.000665349
2,60.8573,1.7126,1.95332,1.90896,0.50316,0.55987,0.46546,0.20074,1.89527,2.69307,2.25262,0.00132136,0.00132136,0.00132136
3,88.0716,1.73856,1.91136,1.94282,0.60675,0.56098,0.58515,0.25578,1.70477,1.85307,1.97628,0.0019667,0.0019667,0.0019667
4,115.713,1.71974,1.86217,1.93202,0.72992,0.56369,0.62952,0.25706,1.94539,1.92442,2.22016,0.001952,0.001952,0.001952
5,142.885,1.7031,1.82004,1.92826,0.72907,0.62873,0.6664,0.3392,1.69658,1.68871,1.92202,0.001936,0.001936,0.001936
6,169.833,1.66915,1.72288,1.8698,0.7505,0.61247,0.70119,0.30246,1.81403,1.6856,2.00308,0.00192,0.00192,0.00192
7,196.78,1.59714,1.63764,1.83843,0.77785,0.60434,0.71389,0.39561,1.63461,1.50508,1.92195,0.001904,0.001904,0.001904
8,224.39,1.59515,1.64495,1.8213,0.76456,0.62482,0.71994,0.33931,1.82116,1.49615,2.01117,0.001888,0.001888,0.001888
9,251.552,1.56454,1.58755,1.78281,0.80063,0.72913,0.7695,0.36401,1.72748,1.43021,2.00596,0.001872,0.001872,0.001872
10,279.396,1.57347,1.5605,1.7867,0.84693,0.68022,0.77827,0.36368,1.68418,1.41251,1.91742,0.001856,0.001856,0.001856
11,306.287,1.5517,1.48828,1.74617,0.84428,0.73442,0.83015,0.40667,1.6576,1.2029,1.84872,0.00184,0.00184,0.00184
12,333.262,1.54243,1.4779,1.75236,0.84966,0.72358,0.82363,0.44532,1.60371,1.34999,1.82597,0.001824,0.001824,0.001824
13,360.35,1.54131,1.47278,1.75614,0.90532,0.71816,0.82538,0.38529,1.71863,1.21717,1.9054,0.001808,0.001808,0.001808
14,388.345,1.51248,1.45761,1.72932,0.81609,0.80571,0.85861,0.46911,1.56639,1.04685,1.73754,0.001792,0.001792,0.001792
15,416.621,1.46796,1.40809,1.70661,0.86292,0.81885,0.86208,0.40563,1.69695,1.14799,1.9352,0.001776,0.001776,0.001776
16,444.951,1.45979,1.39686,1.68315,0.92009,0.74886,0.86047,0.48576,1.51335,1.07652,1.70649,0.00176,0.00176,0.00176
17,474.115,1.44586,1.36058,1.6894,0.83573,0.7832,0.83991,0.48079,1.45561,1.10901,1.67229,0.001744,0.001744,0.001744
18,504.309,1.43213,1.33782,1.67316,0.92033,0.77507,0.87367,0.48115,1.48852,1.05891,1.76742,0.001728,0.001728,0.001728
19,532.984,1.44779,1.31841,1.67716,0.8555,0.75339,0.852,0.4754,1.5278,1.15474,1.73487,0.001712,0.001712,0.001712
20,560.685,1.45723,1.352,1.69516,0.90132,0.73442,0.85084,0.45849,1.56364,1.18885,1.77614,0.001696,0.001696,0.001696
21,588.665,1.41782,1.3202,1.66379,0.88815,0.82656,0.88322,0.45778,1.57587,1.05704,1.763,0.00168,0.00168,0.00168
22,616.829,1.42415,1.29288,1.66089,0.88085,0.78132,0.85596,0.47175,1.52284,1.02966,1.7285,0.001664,0.001664,0.001664
23,645.047,1.41175,1.31104,1.65292,0.88687,0.84982,0.895,0.51861,1.53067,0.95904,1.73113,0.001648,0.001648,0.001648
24,673.11,1.4223,1.26463,1.65838,0.84434,0.78591,0.85238,0.45621,1.55187,1.10267,1.75778,0.001632,0.001632,0.001632
25,701.599,1.40624,1.26141,1.64941,0.92352,0.80217,0.88524,0.48235,1.5285,0.98487,1.73919,0.001616,0.001616,0.001616
26,729.117,1.39872,1.2362,1.64584,0.8721,0.85003,0.90652,0.53464,1.40544,0.90911,1.63385,0.0016,0.0016,0.0016
27,756.651,1.398,1.23762,1.63242,0.91647,0.79675,0.89064,0.5036,1.49069,0.9749,1.71457,0.001584,0.001584,0.001584
28,784.168,1.37295,1.22781,1.62302,0.88325,0.79957,0.88283,0.46447,1.59355,1.02338,1.8267,0.001568,0.001568,0.001568
29,811.852,1.35883,1.19651,1.6203,0.89314,0.82385,0.89372,0.50264,1.50764,0.90017,1.70836,0.001552,0.001552,0.001552
30,838.551,1.36604,1.20747,1.6134,0.90956,0.80217,0.8928,0.51004,1.51723,1.00454,1.72387,0.001536,0.001536,0.001536
31,865.331,1.34613,1.16473,1.59401,0.88524,0.82385,0.89635,0.50241,1.49504,0.94951,1.703,0.00152,0.00152,0.00152
32,894.613,1.35184,1.15237,1.59724,0.89511,0.80943,0.89099,0.51736,1.48285,0.94247,1.68074,0.001504,0.001504,0.001504
33,932.879,1.34351,1.14664,1.59613,0.91493,0.84824,0.89227,0.48527,1.52683,0.93924,1.71482,0.001488,0.001488,0.001488
34,966.823,1.32259,1.11554,1.56533,0.89618,0.86559,0.91588,0.50616,1.51042,0.88115,1.71735,0.001472,0.001472,0.001472
35,1002.97,1.31864,1.11285,1.56586,0.93567,0.86711,0.92168,0.51545,1.48596,0.8795,1.69938,0.001456,0.001456,0.001456
36,1036.66,1.30905,1.13807,1.56973,0.89224,0.87263,0.9137,0.52883,1.45985,0.88766,1.64455,0.00144,0.00144,0.00144
37,1072.39,1.32576,1.10275,1.56901,0.93237,0.88618,0.92146,0.52115,1.50043,0.79977,1.68894,0.001424,0.001424,0.001424
38,1106.78,1.31488,1.08442,1.55838,0.88884,0.87534,0.91418,0.53158,1.47516,0.83328,1.68894,0.001408,0.001408,0.001408
39,1142.26,1.30433,1.09816,1.56239,0.90068,0.83556,0.90826,0.5088,1.49002,0.88902,1.70673,0.001392,0.001392,0.001392
40,1176.02,1.29172,1.07335,1.5555,0.91188,0.89744,0.94128,0.56284,1.38673,0.80489,1.61517,0.001376,0.001376,0.001376
41,1209.18,1.30809,1.09967,1.57212,0.92457,0.85095,0.90605,0.50972,1.49181,0.84872,1.72622,0.00136,0.00136,0.00136
42,1250.25,1.29799,1.06867,1.54072,0.92777,0.87534,0.92573,0.54224,1.44015,0.80736,1.66172,0.001344,0.001344,0.001344
43,1292.03,1.29629,1.0526,1.55251,0.87232,0.87022,0.91635,0.51896,1.50592,0.81906,1.72883,0.001328,0.001328,0.001328
44,1319.27,1.29862,1.07003,1.55366,0.8974,0.86721,0.91388,0.481,1.55167,0.86209,1.74327,0.001312,0.001312,0.001312
45,1348.15,1.26966,1.03203,1.51859,0.90118,0.85908,0.91099,0.50836,1.50489,0.84709,1.72451,0.001296,0.001296,0.001296
46,1375.8,1.26163,1.02965,1.52456,0.89772,0.88013,0.92207,0.49716,1.49417,0.84943,1.75711,0.00128,0.00128,0.00128
47,1403.53,1.263,1.03487,1.51435,0.95197,0.85095,0.93736,0.56043,1.38985,0.76451,1.60912,0.001264,0.001264,0.001264
48,1430.18,1.27187,1.04574,1.53145,0.94401,0.86819,0.92944,0.50452,1.51357,0.83034,1.74345,0.001248,0.001248,0.001248
49,1456.69,1.27563,1.05079,1.52612,0.90057,0.80217,0.88367,0.52803,1.4486,0.91468,1.6532,0.001232,0.001232,0.001232
50,1484.25,1.2491,1.02367,1.49506,0.91682,0.84824,0.92837,0.5283,1.47118,0.81618,1.70538,0.001216,0.001216,0.001216
51,1512.35,1.24558,0.99517,1.50966,0.91349,0.89973,0.92564,0.51736,1.50146,0.82807,1.69997,0.0012,0.0012,0.0012
52,1539.45,1.24788,0.98897,1.50114,0.92997,0.86365,0.92299,0.52592,1.47504,0.79426,1.67987,0.001184,0.001184,0.001184
53,1566.29,1.2419,0.99227,1.50381,0.91565,0.91328,0.94232,0.57728,1.39012,0.74662,1.61305,0.001168,0.001168,0.001168
54,1593.31,1.23245,0.99006,1.50245,0.96212,0.85637,0.93515,0.53245,1.51274,0.76882,1.7579,0.001152,0.001152,0.001152
55,1619.9,1.22092,0.96187,1.49296,0.91891,0.89702,0.93531,0.55467,1.41143,0.73128,1.64214,0.001136,0.001136,0.001136
56,1646.51,1.22403,0.96259,1.47974,0.91195,0.87016,0.9169,0.51556,1.5441,0.82281,1.76129,0.00112,0.00112,0.00112
57,1673.27,1.23068,0.965,1.49391,0.94811,0.87534,0.94559,0.53573,1.48907,0.73646,1.72588,0.001104,0.001104,0.001104
58,1699.95,1.236,0.96905,1.50027,0.91867,0.85715,0.9176,0.54014,1.43116,0.80277,1.64335,0.001088,0.001088,0.001088
59,1726.59,1.21879,0.95101,1.48357,0.94168,0.8751,0.93445,0.54202,1.41642,0.74153,1.65852,0.001072,0.001072,0.001072
60,1753.24,1.2253,0.97861,1.50052,0.91859,0.86992,0.9265,0.55492,1.43688,0.74643,1.64247,0.001056,0.001056,0.001056
61,1781.83,1.18904,0.93941,1.47068,0.95589,0.88096,0.94281,0.56054,1.41371,0.75402,1.64651,0.00104,0.00104,0.00104
62,1808.54,1.2045,0.94024,1.47232,0.95074,0.85637,0.92756,0.54951,1.43563,0.78675,1.66253,0.001024,0.001024,0.001024
63,1835.12,1.19451,0.91413,1.45603,0.93419,0.88473,0.93802,0.56333,1.41346,0.71876,1.63052,0.001008,0.001008,0.001008
64,1861.78,1.19479,0.92428,1.4643,0.95686,0.87263,0.93424,0.55471,1.42654,0.75729,1.64397,0.000992,0.000992,0.000992
65,1888.48,1.1979,0.92735,1.47424,0.95291,0.87745,0.93802,0.56234,1.4109,0.72061,1.60838,0.000976,0.000976,0.000976
66,1915.22,1.20001,0.91,1.47646,0.96533,0.85637,0.93147,0.54047,1.475,0.7242,1.70324,0.00096,0.00096,0.00096
67,1941.86,1.18051,0.90572,1.4497,0.94384,0.88076,0.93089,0.55261,1.42476,0.73675,1.66471,0.000944,0.000944,0.000944
68,1970.96,1.19625,0.91425,1.46333,0.91997,0.90244,0.93279,0.54532,1.45587,0.70189,1.66719,0.000928,0.000928,0.000928
69,2003.69,1.16667,0.9063,1.45377,0.93787,0.85913,0.93082,0.52064,1.48396,0.74869,1.69235,0.000912,0.000912,0.000912
70,2035.72,1.16082,0.89696,1.44457,0.90214,0.87534,0.92387,0.55627,1.42643,0.75017,1.64291,0.000896,0.000896,0.000896
71,2068.45,1.1783,0.91304,1.46909,0.93138,0.88282,0.93567,0.55054,1.44326,0.72418,1.6446,0.00088,0.00088,0.00088
72,2101.73,1.14699,0.89173,1.44871,0.93249,0.89834,0.94133,0.54779,1.45294,0.70797,1.64135,0.000864,0.000864,0.000864
73,2134.58,1.18846,0.91526,1.45227,0.93298,0.89431,0.93899,0.5707,1.42425,0.68229,1.63219,0.000848,0.000848,0.000848
